"ID","Orginal Price","Predicted Price"
1,1249000,751391
2,220000,255736
3,1250000,1088912
4,599900,604636
5,986950,4856484
6,182500,711873
7,222500,670611
8,599900,731771
9,795000,1123454
10,1150000,665052
11,941950,743314
12,725000,870227
13,738069,1286111
14,258250,654014
15,350000,1567971
16,825000,873564
17,695000,751391
18,647042,255736
19,654900,1088912
20,825000,604636
21,599900,4856484
22,1100000,711873
23,1078950,670611
24,299000,731771
25,1895000,1123454
26,275000,665052
27,644900,743314
28,494900,870227
29,688063,1286111
30,941950,654014
31,1525720,1567971
32,865000,873564
33,579164,751391
34,1657540,255736
35,875000,1088912
36,991950,604636
37,415000,4856484
38,899000,711873
39,1024950,670611
40,925000,731771
41,412164,1123454
42,933950,665052
43,550000,743314
44,1040950,870227
45,891950,1286111
46,701000,654014
47,238000,1567971
48,599555,873564
49,1910991,751391
50,9e+05,255736
51,867449,1088912
52,1500000,604636
53,599950,4856484
54,359000,711873
55,1300000,670611
56,215000,731771
57,518000,1123454
58,999800,665052
59,1124950,743314
60,875000,870227
61,850000,1286111
62,1470000,654014
63,661559,1567971
64,715000,873564
65,524900,751391
66,677544,255736
